title,content,tokens
Page 99,"70 CHAPTER 4Authenticated encryption extremely efficient total breaks (attacks that recover the key) exist on three round variants of AES-128. By iter ating many times, the cipher transforms plaintext into something that looks nothing like the origin al plaintext. The slightest change in the plaintext also returns a completely different ciphertext. This prin ciple is called the avalanche effect . NOTE Real-world cryptographi c algorithms are typically compared by the security, size, and speed they provide. We already talked about the security and size of AES; its securi ty depends on the key size, and it can encrypt 128-bit blocks of data at a time. Speedwise, many CPU vendors have implemented AES in hardware. For example, AES Ne w Instructions (AES-NI) is a set of instructions available in Intel and AMD CPUs, which can be used to efficiently implement encryption and decryption for AES. These special instructions make AES extremely fast in practice. One question that you might still have is ho w do I encrypt more or less than 128 bits with AES? I’ll answer this next. 4.3 The encrypted penguin and the CBC mode of operation Now that we have introduced the AES bl ock cipher and explai ned a bit about its internals, let’s see how to use it in practi ce. The problem with a block cipher is that it can only encrypt a block by itself. To encrypt something that is not exactly 128 bits, we must use a padding as well as a mode of operation . So let’s see what these two concepts are about. Imagine that you want to encrypt a long message. Naively, you could divide the message into blocks of 16 bytes (the block si ze of AES). Then if the last block of plain- text is smaller than 16 bytes, you could append some more bytes at the end until theplaintext becomes 16 bytes long. This is what padding is about! There are several ways to specify how to choose these padding bytes , but the most important aspect of padding is that it must be reversible. Once we decrypt ciphertext,we should be able to remove the padding to retrieve the original unpadded message. Simply adding random bytes, for example, wouldn’t work because you wouldn’t be able to discern if the random bytes were part of the original message or not.Figure 4.5 A typical round of AES. (The first and la st rounds omit some operations.) Four different functions transform the state. Each function is re versible as decryption wouldn’t work otherwise. The addition sign inside a circle ( ⊕) is the symbol for the XOR operation. Licensed to Jieren Chen <jieren@lychee.ai>",570
Page 100,"71 The encrypted penguin and the CBC mode of operation The most popular padding mechan ism is often referred to as PKCS#7 padding , which first appeared in the PKCS#7 standard published by RSA (a company) at the end of the 1990s. PKCS#7 padding specifies one rule: the value of each padding byte must be set to the length of the required padding. What if the plaintext is already 16 bytes? Then we add a full block of padding se t to the value 16. I illustrate this visually in figure 4.6. To remove the padding, you ca n easily check the value of the last byte of plaintext and interpret it as th e length of padding to remove. Now, there’s one big problem I need to talk about. So far, to encrypt a long message, you just divided it into blocks of 16 byte s (and perhaps you padded the last block). This naive way is called the electronic codebook (ECB) mode of operation. As you learned, encryption is deterministic, and so encrypti ng the same block of plaintext twice leads to the same ciphertext. This means that by encrypting each block individually, the resulting ciphertext might have repeating patterns. This might seem fine, but allowing thes e repetitions lead to many problems. The most obvious one is that they leak information about the plaintext. The most famousillustration of this is the ECB penguin , pictured in figure 4.7. To encrypt more than 128 bits of plaintext safely, better modes of operation exist that “randomize” the encryption. One of the mo st popular modes of operation for AES is cipher block chaining (CBC). CBC works for any deterministic block cipher (not just AES) by taking an additional value called an initialization vector (IV) to randomize the encryption. Because of this, the IV is the length of the block size (16 bytes for AES) and must be random and unpredictable.Figure 4.6 If the plaintext is not a multiple of the block size, it is padded with the length needed to reach a multiple of the block size. In the figure, the plaintext is 8 bytes, so we use 8 more bytes (containing the value 8) to pad the plaintext up to the 16 bytes required for AES. Original penguin ECB encrypted penguin Figure 4.7 The famous ECB penguin is an encryption of an image of a penguin using the electronic codebook (ECB) mode of operation. As ECB does not hide repeating patterns, one can guess just by looking at the ciphertext what was originally encrypted. (Image taken from Wikipedia.) Licensed to Jieren Chen <jieren@lychee.ai>",565
Page 101,"72 CHAPTER 4Authenticated encryption To encrypt with the CBC mode of operat ion, start by generating a random IV of 16 bytes (chapter 8 tells you how to do th is), then XOR the generated IV with the first 16 bytes of plaintext before encrypting those. This effectively randomizes the encryption. Indeed, if the same plaintext is encrypted twice but with different IVs, themode of operation renders two different ciphertexts. If there is more plaintext to encrypt, us e the previous ciphertext (like we used the IV previously) to XOR it with the next bl ock of plaintext before encrypting it. This randomizes the next block of encryption as well. Remember, the encryption of some- thing is unpredictable and should be as good as the randomness we used to create our real IV. Figure 4.8 illustrates CBC encryption. To decrypt with the CBC mode of operatio n, reverse the operations. As the IV is needed, it must be tr ansmitted in clear text along with the ciphertext. Because the IV is supposed to be random, no information is leaked by observing the value. I illustrate CBC decryption in figure 4.9. Additional parameters like IVs are preval ent in cryptography. Yet, these are often poorly understood and are a great source of vulnerabilities. With the CBC mode ofFigure 4.8 The CBC mode of operation with AES. To encrypt, we use a random initialization vector (IV) in addition to padded plaintext (split in multiple blocks of 16 bytes). Figure 4.9 The CBC mode of operation with AES. To decrypt, the associated initialization vector (IV) is required. Licensed to Jieren Chen <jieren@lychee.ai>",359
Page 102,"73 A lack of authenticity, hence AES-CBC-HMAC operation, an IV needs to be unique (it cannot repeat) as well as unpredictable (it really needs to be random). These requirements ca n fail for a number of reasons. Because developers are often confused by IVs, some cryptographic librar ies have removed the possibility to spec ify an IV when encrypting with CBC and automatically generate one randomly. WARNING When an IV repeats or is predictable, the encryption becomes deterministic again, and a number of clever attacks become possible. This was the case with the famous BEAST atta ck (Browser Exploit Against SSL/TLS) on the TLS protocol. Note also that other algorithms might have different requirements for IVs. This is why it is always important to read the manual. Dangerous details lie in fine print. Note that a mode of operation and a paddi ng are still not enough to make a cipher usable. You’re about to see why in the next section. 4.4 A lack of authenticity, hence AES-CBC-HMAC So far, we have failed to ad dress one fundamental flaw: the ciphertext as well as the IV in the case of CBC can still be modified by an attacker. Indeed, there’s no integrity mechanism to prevent that! Changes in the ciphertext or IV mi ght have unexpected changes in the decryption. For example, in AES-CBC (AES used with the CBC mode of operation), an attacker can f lip specific bits of plaintext by flipping bits in its IV and ciphertext. I illustrate this attack in figure 4.10. Consequently, a cipher or a mode of operatio n must not be used as-is. They lack some sort of integrity protection to ensure that a ciphertext and its associated parameters (here the IV) cannot be modified without triggering some alarms.Figure 4.10 An attacker that intercepts an AES-CBC ciphertext can do the following: (1) Because the IV is public, flipping a bit (from 1 to 0, for example) of t he IV also (2) flips a bit of the first block of plaintext. (3) Modifications of bits can happen on the ciphertext bl ocks as well. (4) Such changes impact the following block of decrypted plaintext. (5) Note that tampering with the ciphertext blocks has the direct effect of scrambling the decryption of that block. Licensed to Jieren Chen <jieren@lychee.ai>",521
Page 103,"74 CHAPTER 4Authenticated encryption To prevent modifications on the ciphertext, we can use the message authentication codes (MACs) that we saw in chapter 3. For AES-CBC, we usually use HMAC (for hash- based MAC ) in combination with the SHA-256 hash function to provide integrity. We then apply the MAC after padding the plaintex t and encrypting it over both the cipher- text and the IV; otherwise, an attacker ca n still modify the IV without being caught. WARNING This construction is called Encrypt-then-MAC . The alternatives (like MAC-then-Encrypt ) can sometimes lead to clev er attacks (like the famous Vaudenay padding oracle attack) an d are thus avoided in practice. The created authentication tag can be tran smitted along with the IV and the cipher- text. Usually, all are concatenat ed together as figure 4.11 illustrates. In addition, it is best practice to use different keys for AES-CBC and HMAC. Prior to decryption, the tag needs to be veri fied (in constant time as you saw in chap- ter 3). The combination of all of these algorithms is referred to as AES-CBC-HMAC and was one of the most widely used authen ticated encryption modes until we started to adopt more modern al l-in-one constructions. WARNING AES-CBC-HMAC is not the most developer-friendly construction. It is often poorly implemented and has some dangerous pitfalls when notused correctly (for example, the IV of each encryption must be unpredictable). I have spent a few pages introducing this algorithm as it is still widely used and still works, but I recommend against using it in favor of the more currentconstructions I introduce next. 4.5 All-in-one constructions: Authenticated encryption The history of encryption is not pretty. No t only has it been poorly understood that encryption without authentication is dang erous, but misapplyin g authentication has also been a systemic mistake made by developers. For this reason, a lot of researchhas emerged seeking to standardize all-in-o ne constructions that simplify the use ofFigure 4.11 The AES-CBC-HMAC construction produces three arguments that are usually concatenated in the following order: the public IV, the ciphertext, and the authentication tag. Licensed to Jieren Chen <jieren@lychee.ai>",506
Page 104,"75 All-in-one constructions: Authenticated encryption encryption for developers. In the rest of th is section, I introduce this new concept as well as two widely adopted standa rds: AES-GCM and ChaCha20-Poly1305. 4.5.1 What’s authenticate d encryption with asso ciated data (AEAD)? The most current way of encrypting data is to use an all-in-one construction called authenticated encryption with associated data (AEAD). The construction is extremely close t o w h a t A E S - C B C - H M A C p r o v i d e s a s i t a l s o o f f e r s c o n f i d e n t i a l i t y o f y o u r p l a i n t e x t swhile detecting any modifications that could have occurred on the ciphertexts. What’s more, it provides a way to authenticate associated data . The associated data argument is optional and can be empty or it can also contain metadata that is relevant to the encryption and decryption of the plaintext. This data will not be encrypted and is either implied or transmitted along with the ciphertext. In addition, the ciphertext’s size is larger than the plaintext because it now contains an additional authentication tag (usually appended to the end of the ciphertext). To decrypt the ciphertext, we are requir ed to use the same implied or transmitted associated data. The result is either an error, indicating that the ciphertext was modi-fied in transit, or the origin al plaintext. I illustrate this new primitive in figure 4.12. 0x8866 ... 1. Alice and Bob meet in real life to . agree on a key0x8866 ... 2. Alice can now use it to encrypt messages with an and the .AEAD algorithm symmetric key She can also add some optional associated data. 3. The ciphertext and tag are sent to Bob. An observer on the way them intercepts and the ciphertext.modiﬁes4. Bob uses the AEAD decryption algorithm on the with the same key.modiﬁed ciphertext The decryption fails .0x6e0e ... 0x6e0e0x8866 ... 0x7e0e ... 0x7e0e ... Figure 4.12 Both Alice and Bob meet in person to agree on a shared key. Alice can then use an AEAD encryption algorithm with the key to encrypt her messages to Bob. She can optionally authenticate some associated data ( ad); for example, the sender of the message. After receiving the ciphertext and the authentication tag, Bob can decrypt it using the same key and associated data. If the associated data is incorrect or the ciphertext was modified in transit, the decryption fails. Licensed to Jieren Chen <jieren@lychee.ai>",624
Page 105,"76 CHAPTER 4Authenticated encryption Let’s see how to use a cryptographic library to encrypt and decryp t with an authenti- cated encryption primitive. For this, we’ll use the JavaScript programming language and the Web Crypto API (an official interf ace supported by most browsers that pro- vides low-level cryptograp hic functions) as the following listing shows. let config = { name: 'AES-GCM', length: 128 }; let keyUsages = ['encrypt', 'decrypt']; let key = await crypto.subtle.generateKey(config, false, keyUsages); let iv = new Uint8Array(12); await crypto.getRandomValues(iv); let te = new TextEncoder(); let ad = te.encode(""some associated data""); let plaintext = te.encode(""hello world""); let param = { name: 'AES-GCM',iv: iv, additionalData: ad };let ciphertext = await crypto.subtle.encrypt(param, key, plaintext); let result = await window.crypto.subtle.decrypt( param, key, ciphertext); new TextDecoder(""utf-8"").decode(result); Note that Web Crypto API is a low-level API, and as such, does not help the developer to avoid mistakes. For example, it lets us specify an IV, which is a dangerous pattern. In this listing, I used AES-GCM, which is the most widely used AEAD. Next, let’s talk more about this AES-GCM. 4.5.2 The AES-GCM AEAD The most widely used AEAD is AES with the Galois/Counter Mode (also abbreviated AES-GCM). It was designed for high performance by taking advantage of hardware support for AES and by using a MAC (GMAC) that can be implemented efficiently. AES-GCM has been included in NIST’s Special Publication (SP 800-38D) since 2007, and it is the main cipher used in cr yptographic protocols, including several ver- sions of the TLS protocol that is used to secure connections to websites on the inter- net. Effectively, we can say that AES-GCM encrypts the web. AES-GCM combines the Counter (CTR) mo de of operation with the GMAC mes- sage authentication code. First, let’s see how CTR mode works with AES. Figure 4.13 shows how AES is used with CTR mode.Listing 4.1 Authenticated encryption with AES-GCM in JavaScript Generates a 128-bit key for 128 bits of security Generates a 12-byte IV randomly Uses some associated data to encrypt our plaintext. Decryption must use the same IV and associated data. Decryption throws an exception if the IV, ciphertext, or associated data are tampered with. Licensed to Jieren Chen <jieren@lychee.ai>",632
Page 106,"77 All-in-one constructions: Authenticated encryption AES-CTR uses AES to encrypt a nonce conc atenated with a number (starting at 1) instead of the plaintext. This additional argument, “a nonce for number once,” serves the same purpose as an IV: it allows th e mode of operation to randomize the AES encryption. The requirements are a bit diffe rent from the IV of CBC mode, however. A nonce needs to be unique but not unpredictable. Once this 16-byte block is encrypted, the result is called a keystream , and it is XORed with the actual plaintext to produce the encryption. NOTE Like IVs, nonces are a common te rm in cryptography, and they are found in different cryptographic prim itives. Nonces can have different requirements, although the name often indicates that it should not repeat. But, as usual, what matters is what th e manual says, not what the name of the argument implies. Indeed, the nonce of AES-GCM is sometimes referred to as an IV. The nonce in AES-CTR is 96 bits (12 byte s) and takes most of the 16 bytes to be encrypted. The 32 bits (4 bytes) left serves as a counter, starting from 1 and incre- mented for each block encryption unt il it reaches its maximum value at 24×8 – 1 = 4,294,967,295. This means that, at most, 4,294,967,295 blocks of 128 bits can be encrypted with the same nonce (so less than 69 GBs). If the same nonce is used twice, the same keystream is created. By XORing the two ciphertexts together, the keystream is canc eled and one can recover the XOR of the two plaintexts. This can be devastating, especially if you have some information aboutthe content of one of the two plaintexts. Figure 4.14 shows an interesting aspect of CTR mode: no padding is required. We say that it turns a block cipher (AES) into a stream cipher. It en crypts the plaintext byte by byte.Figure 4.13 The AES-CTR algorithm combining the AES ci pher with the Counter mode of operation (CTR mode). A unique nonce is concatenated with a counter and encrypted to produce a keystream. The keystream is then XORed with the actual bytes of the plaintext. Licensed to Jieren Chen <jieren@lychee.ai>",536
Page 107,"78 CHAPTER 4Authenticated encryption The second part of AES-GCM is GMAC . It is a MAC constructed from a keyed hash (called GHASH ). In technical terms, GHASH is an almost XORed universal hash (AXU), which is also called a difference unpredictable function (DUF). The requirement of such a function is weaker than a hash . For example, an AXU does not need to be collision resistant. Thanks to this, GHASH can be significantly faster. Figure 4.15 illus- trates the GHASH algorithm.Stream ciphers Stream ciphers are anot her category of ciphers. They are different than block ciphers because we can use them directly to encrypt a ciphertext by XORing it with a key- stream. No need for padding or a mode of op eration, allowing the ciphertext to be of the same length as the plaintext. In practice, there isn’t much difference between these two categories of ciphers because block ciphers can easily be tran sformed into stream ciphers via the CTR mode of operation. But, in theory, block ciphers have the advantage as they can be useful when constructing other categories of primitives (simila r to what you saw in chapter 2 with hash functions). This is also a good moment to note that, by default, encryption doesn’t (or badly) hides the length of what you are encrypting. Because of this, the use of compression before encryption can lead to attacks if an attacker can influence parts of what isbeing encrypted.Figure 4.14 If the keystream of AES-CTR is longer than the plaintext, it is truncated to the length of the plaintext prior to XORing it with the plaintext. This permits AES-CTR to work without padding. Figure 4.15 GHASH takes a key and absorbs the input block by block in a manner resembling CBC mode. It produces a digest of 16 bytes. Licensed to Jieren Chen <jieren@lychee.ai>",434
Page 108,"79 All-in-one constructions: Authenticated encryption To hash something with GHASH, we break th e input into blocks of 16 bytes and then hash them in a way similar to CBC mode. As this hash takes a key as input, it can theo- retically be used as a MAC, but only once (otherwise, the algorithm breaks)—it’s a one- time MAC . As this is not ideal for us, we use a technique (due to Wegman-Carter) to transform GHASH into a many-time MAC . I illustrate this in figure 4.16. GMAC is effectively the encryption of the GHASH output with AES-CTR (and a differ- ent key). Again, the nonce must be unique; otherwise, clever attackers can recover the authentication key used by GHASH, whic h would be catastrophic and would allow easy forgery of authentication tags. Finally, AES-GCM can be seen as an in tertwined combination of CTR mode and GMAC, similar to the Encrypt-then-MAC constr uction we previously discussed. I illus- trate the whole algorithm in figure 4.17. The counter starts at 1 for encryption, leaving the 0 counter for encrypting the authentication tag created by GHASH. GH ASH, in turn, takes an independent key H, which is the encryption of the all-zero block with a key K. This way one does not need to carry two different keys as the key K suffices to derive the other one. As I said previously, the 12-byte nonce of AES-GCM needs to be unique and, thus, to never repeat. Notice that it doesn’t n eed to be random. Consequently, some peo- ple like to use it as a counter , starting it at 1 and incremen ting it for each encryption. In this case, one must use a cryptographi c library that lets the user choose the nonce. This allows one to encrypt 212×8 – 1 messages before reaching the maximum value of the nonce. Suf fice it to s ay, t his is an impossible number of mes sages to reach in practice. On the other hand, having a coun ter means that one needs to keep state. If a machine crashes at the wrong time, it is possible that nonce reuse could happen. For this reason, it is someti mes preferred to have a random nonce . Actually, some libraries will not let developers choose the nonce and will generate those at random. DoingFigure 4.16 GMAC uses GHASH with a key to hash the input, then encrypts it with a different key and AES-CTR to produce an authentication tag. Licensed to Jieren Chen <jieren@lychee.ai>",585
Page 109,"80 CHAPTER 4Authenticated encryption this avoids repetition with probabilities so high that this shouldn’t happen in practice. Yet, the more messages that are encrypted, the more nonces are used and the higher the chances of getting a collision. Because of the birthday bound we talked about in chapter 2, it is recommended not to encrypt more than 296/3 ≈ 232 messages with the same key when generating nonces randomly. Beyond birthday-bound security 230 messages is quite a large number of messages. It might never be reached in many scenarios, but real-world cryptography often pushes the limit of what is consid- ered reasonable. Some long-lived systems need to encrypt many, many messages per second, eventually reaching these limit s. Visa, for example, processes 150 mil- lion transactions per day. If it needs to encrypt those with a unique key, it would reachthe limit of 2 30 messages in only a week. In these extreme cases, rekeying (changing the key used to encrypt) can be a solution. There also exists a research field called beyond birthday-bound security that aims to improve th e maximum number of mes- sages that can be encrypted with the same key. Figure 4.17 AES-GCM works by using AES-CTR with a symmetric key K to encrypt the plaintext and by using GMAC to authenticate the associated data and t he ciphertext using an authentication key H. Licensed to Jieren Chen <jieren@lychee.ai>",313
Page 110,"81 All-in-one constructions: Authenticated encryption 4.5.3 ChaCha20-Poly1305 The second AEAD I will talk about is ChaCha20-Poly1305 . It is the combination of two algorithms: the ChaCha20 stream cipher an d the Poly1305 MAC. Both designed sepa- rately by Daniel J. Bernstein to be fast when used in software, contrary to AES, which is slow when hardware support is unavailabl e. In 2013, Google standardized the Cha- Cha20-Poly1305 AEAD in order to make use of it in Android mobile phones relying on low-end processors. Nowadays, it is wi dely adopted by internet protocols like OpenSSH, TLS, and Noise. C h a C h a 2 0 i s a m o d i f i c a t i o n o f t h e S a lsa20 stream cipher, which was originally designed by Daniel J. Bernstein around 2 005. It was one of the nominated algorithms in the ESTREAM competition ( https:/ /www.ecrypt.eu.org/stream/ ). Like all stream ciphers, the algorithm produces a keystream , a series of random bytes of the length of the plaintext. It is then XORed with the pl aintext to create the ciphertext. To decrypt, the same algorithm is used to produce the same keystream, which is XORed with the ciphertext to give back the plaintext. I illustrate both fl ows in figure 4.18. Under the hood, ChaCha20 generates a keystream by repeatedly calling a block func- tion to produce many 64-byte blocks of keystream. The block function takes A 256-bit (32-byte) key like AES-256 A 96-bit (12-byte) nonce like AES-GCM A 32-bit (4-byte) counter like AES-GCM The process to encrypt is the same as with AES-CTR. (I illustrate this flow in figure 4.19.) 1Run the block function, incrementing the counter every time, until enough keystream is produced 2Truncate the keystream to the length of the plaintext 3XOR the keystream with the plaintext Due to the upper bound on the counter, you can use ChaCha20 to encrypt as many messages as with AES-GCM (as it is parame terized by a similar nonce). Because the output created by this block function is much larger, the size of a message that you can encrypt is also impacted. You ca n encrypt a message of size 232 × 64 bytes ≈ 274 GB. If a nonce is reused to encrypt a plaintext, similar issues to AES-GCM arise. An observerFigure 4.18 ChaCha20 works by taking a symmetric key and a unique nonce. It then generates a keystream that is XORed with the plaintext (or ciphertext) to produce the ciphertext (or plaintext). The encryption is length-preserving as the ciphertext and the plaintext are of the same length. Licensed to Jieren Chen <jieren@lychee.ai>",681
Page 111,"82 CHAPTER 4Authenticated encryption can obtain the XOR of the two plaintexts by XORing the two ciphertexts and can also recover the authentication key for the nonce. These are serious issues that can lead toan attacker being able to forge messages! Inside the ChaCha20 block func tion, a state is formed. Figu re 4.20 illustrates this state. This state is then transformed into 64 byte s of keystream by iterating a round function 20 times (hence the 20 in the name of the algorithm). This is similar to what was done with AES and its round function. The round function is itself calling a Quarter Round (QR) function 4 times per round, acting on different words of the internal state each time, depending if the round number is odd or even. Figure 4.21 shows this process.The size of nonces and counters The size of the nonces and the counters are (actually) not always the same every- where (both for AES-GCM and ChaCha20-Po ly1305), but they ar e the recommended values from the adopt ed standards. Still, so me cryptographic libra ries accept differ- ent sizes of nonce, and some applications increase the size of the counter (or the nonce) in order to allow encryption of larger messages (or more messages). Increas-ing the size of one component necessarily decreases the size of the other. To prevent this, while allowing a large number of messages to be encrypted under a single key, other st andards like XChaCha 20-Poly1305 are availabl e. These standards increase the size of the nonce while keep ing the rest intact, which is important in cases where the nonce needs to be generated randomly instead of being a counter tracked in the system.Figure 4.19 ChaCha20’s keystream is created by calling an internal block function until enough bytes are produced. One block function call creates 64 bytes of random keystream. “expand 32-byte k” 256-bit key Nonce CounterFigure 4.20 The state of the ChaCha20 block function. It is formed by 16 words (represented as squares) of 32 bits each. The first line stores a constant, the second and third lines store the 32-byte symmetric key, the following word stores a 4-byte counter, and the last 3 words store the 12-byte nonce. Licensed to Jieren Chen <jieren@lychee.ai>",526
Page 112,"83 All-in-one constructions: Authenticated encryption The QR function takes four different ar guments and updates them using only Add, Rotate, and XOR operations. We say that it is an ARX stream cipher. This makes Cha- Cha20 extremely easy to implement and fast in software. Poly1305 is a MAC created via the Wegman-Car ter technique, much like the GMAC we previously talked about. Figure 4. 22 illustrates this cryptographic MAC. In the figure, r can be seen as the authentication key of the scheme, like the authenti- cation key H of GMAC. And s makes the MAC secure for multiple uses by encrypting the result, thus it must be unique for each usage. The Poly1305 core function mixes the key with the accumulator (set to 0 in the beginning) and the message to authenticate . The operations are simple multiplica- tions modulo a constant P. NOTE Obviously, a lot of details are missi ng from our description. I seldom mention how to encode data or ho w some arguments should be padded before being acted on. These are all implementation specificities that do notmatter for us as we are trying to get an intuition of how these things work. Eventually, we can use ChaCha20 and a coun ter set to 0 to generate a keystream and derive the 16-byte r and 16-byte s values we need for Poly13 05. I illustrate the resulting AEAD cipher in figure 4.23.Figure 4.21 A round in ChaCha20 affects all the words contained in a state. As the Quarter Round (QR) function only takes 4 arguments, it must be called at least 4 times on different words (grayed in the diagram) to modify all 16 words of the state. Figure 4.22 Poly1305’s core function absorbs an input one block at a time by taking an additional accumulator set to 0 initially and an authentication key r. The output is fed as an accumulator to the next call of the core function. Eventually the output is added to a random value s to become the authentication tag. Licensed to Jieren Chen <jieren@lychee.ai>",460
Page 113,"84 CHAPTER 4Authenticated encryption The normal ChaCha20 algorithm is first used to derive the authentication secrets r and s needed by Poly1305. The counter is then incremented, and ChaCha20 is used to encrypt the plaintext. After that, the associ ated data and the ciphertext (and their respective lengths) are passed to Poly1305 to create an authentication tag. To decrypt, the exact same process is ap plied. ChaCha20 first verifies the authenti- cation of the ciphertext and the associated data via the tag received. It then decrypts the ciphertext. 4.6 Other kinds of symmetric encryption Let’s pause for a moment and review the symmetric encryption algorithms you have learned so far: Non-authenticated encryption —AES with a mode of operation but without a MAC. This is insecure in practice as ciphertexts can be tampered with. Authenticated encryption —AES-GCM and ChaCha20-Poly1305 are the two most widely adopted ciphers. The chapter could end here and it would be fine. Yet, real-world cryptography is not always about the ag reed standards; it is also about constraints in size, in speed, in for- mat, and so on. To that end, let me give you a brief overview of other types of symmet- ric encryption that can be useful when AES-GCM and ChaCha20-Poly1305 won’t fit. 4.6.1 Key wrapping One of the problems of nonce-based AEADs is that they all require a nonce, which takes additional space. Notice that when encrypting a key, yo u might not necessarily need randomization because what is encryp ted is already random and will not repeat with high probabilities (or if it does repeat, it is not a big deal). One well-known stan- dard for key wrapping is NIST’s Special Publication 800-38F: “Recommendation forFigure 4.23 ChaCha20- Poly1305 works by using ChaCha20 to encrypt the plaintext and to derive the keys required by the Poly1305 MAC. Poly1305 is then used to authenticate the ciphertext as well as the associated data. Licensed to Jieren Chen <jieren@lychee.ai>",502
Page 114,"85 Other kinds of symmetric encryption Block Cipher Modes of Operation: Methods for Key Wrapping.” These key wrapping algorithms do not take an additional no nce or IV and randomize their encryption based on what they are encrypting. Thanks to this, they do not have to store an addi- tional nonce or IV next to the ciphertexts. 4.6.2 Nonce misuse-resistant authenticated encryption In 2006, Phillip Rogaway published a new key wrapping algorithm called synthetic ini- tialization vector (SIV). As part of the proposal, Rogaway notes that SIV is not only use- ful to encrypt keys, but also as a general AE AD scheme that is more tolerant to nonce repetitions. As you learned in this chap ter, a repeating nonce in AES-GCM or Cha- Cha20-Poly1305 can have catastrophic cons equences. It not only reveals the XOR of the two plaintexts, but it also allows an attacker to recover an authentication key and to forge valid encr yption of messages. The point of a nonce misuse-resistant al gorithm is that encr ypting two plaintexts with the same nonce only reveals if the two plaintexts are equal or not, and that’s it. It’s not great, but it’s obviously not as bad as leaking an authentication key. The scheme has gathered a lot of interest an d has since been standardized in RFC 8452: “AES-GCM-SIV: Nonce Misuse-Resistant Auth enticated Encryption.” The trick behind SIV is that the nonce used in the AEAD to encrypt is generated from the plaintext itself, which makes it highly unlikely that two different plaintexts would end up being encrypted under the same nonce. 4.6.3 Disk encryption Encrypting the storage of a laptop or a m obile phone has some hefty constraints: it has to be fast (otherwise the user will notice) and you can only do it in place (saving space is important for a large number of devices). Because the encryption can’t expand, AEADs that need a nonce and an auth entication tag are not a good fit. Instead, unauthenticated encryption is used. To protect against bitflip attacks , large blocks (think thousands of bytes) of data are encrypted in a way that a si ngle bitflip would scramble the decryption of the whole block. This way, an attack has more of a chance of crashing the device than accom- plishing its goal. These constructions are called wide-block ciphers , although this approach has also been dubbed poor man’s authentication . Linux systems and some Android devices have adopted this approach using Adian- tum, a wide-block construction wrapping the ChaCha cipher and standardized by Google in 2019. Still, most devices use non-ideal solu tions: both Microsoft and Apple make use of AES-XTS, which is unauthen ticated and is not a wide-block cipher. 4.6.4 Database encryption Encrypting data in a database is tricky. As the whole point is to prevent database breaches from leaking data, the key used to encrypt and decrypt the data must be stored away from the database server. Beca use clients don’t have the data themselves, they are severely limited in the way they can query the data. Licensed to Jieren Chen <jieren@lychee.ai>",742
Page 115,"86 CHAPTER 4Authenticated encryption The simplest solution is called transparent data encryption (TDE) and simply encrypts selected columns. This works well in some scenarios, although one needs to be careful to authenticate associated data identifying the row and the column being encrypted; otherwise, encrypted content can be swa pped. Still, one cannot search through encrypted data and so queries have to use the unencrypted columns. Searchable encryption is the field of research that ai ms at solving this problem. A lot of different schemes have been proposed, but it seems like there is no silver bullet. Different schemes propose differ ent levels of “searchability” as well as different degra- dations in security. Blind indexing, for exampl e, simply allows you to search for exact matches, while order-preserving and order-revealing encryptions allow you to orderresults. The bottom line is, the security of these solutions ar e to be looked at carefully as they truly are tradeoffs. Summary Encryption (or symmetric encryption) is a cryptographic primitive that can beused to protect the confidentiality of da ta. The security relies on a symmetric key that needs to remain secret. Symmetric encryption needs to be authen ticated (after which we call it authen- ticated encrption) to be secure, as otherwise, ciphertexts can be tampered with. Authenticated encryption can be cons tructed from a symmetric encryption algorithm by using a message authentication code. But best practice is to use an authenticated encryption with associated data (AEAD) algorithm as they are all- in-one constructions that are harder to misuse. Two parties can use authenticated encryp tion to hide their communications, as long as they both have knowledge of the same symmetric key. AES-GCM and ChaCha20-Poly1305 are th e two most widely adopted AEADs. Most applications nowadays use either one of these. Reusing nonces breaks th e authentication of AES- GCM and ChaCha20-Poly1305. Schemes like AES-GCM-SIV are nonce mi suse resistant, wh ile encryption of keys can avoid that problem as nonces are not necessary. Real-world cryptography is about constraints, and AE ADs cannot always fit every scenario. This is the case for database or disk encryption, for example, that require the development of new constructions. Licensed to Jieren Chen <jieren@lychee.ai>",543
Page 116,"87Key exchanges We are now entering the realm of asymmetric cryptography (also called public key cryp- tography ) with our first asymmetric cryptographic primitive: the key exchange . A key exchange is, as the name hints, an exchan ge of keys. For example, Alice sends a key to Bob, and Bob sends a key to Alice. This allows the two peers to agree on a shared secret, which can then be used to encryp t communications with an authenticated encryption algorithm. WARNING As I hinted in the introduction of this book, there is much more math involved in asymmetric crypto graphy; therefore, the next chapters are going to be a tad more difficult for some readers. Don’t get discour- aged! What you will learn in this ch apter will be helpful to understand many other primitives based on the same fundamentals.This chapter covers What key exchanges are and how they can be useful The Diffie-Hellman and Elliptic Curve Diffie-Hellman key exchanges Security considerations when using key exchanges Licensed to Jieren Chen <jieren@lychee.ai>",242
